a	một
firm	hãng, công ty, chắc, kiên quyết, vũng vàng, mạnh mẽ
firmly	vững chắc, kiên quyết
first	Đầu tiên
first det	thứ nhất, đầu tiên, trước hết, người, vật đầu tiên, thứ nhất
fiscal	tài chính
fish	cá, món cá, câu cá, bắt cá
fisherman	ngư dân
fishing	sự câu cá, sự đánh cá
fist	nắm tay
fit	hợp, vừa, thích hợp, xứng đáng
fitness	sự tập thể dục
five	số năm
fix	đóng, gắn, lắp, sửa chữa, sửa sang
fixed	đã sửa
flag	quốc kỳ
flame	ngọn lửa
flash	loé sáng, vụt sáng, ánh sáng lóe lên, đèn nháy
flat	bằng phẳng, bẹt, nhẵn, dãy phòng, căn phòng, mặt phẳng
flavor	hương vị
flavour	vị, mùi, cho gia vị, làm tăng thêm mùi vị
flee	chạy trốn
fleet	hạm đội
flesh	thịt
flexibility	mềm dẻo
flexible	linh hoạt
flight	sự bỏ chạy, rút chạy, sự bay, chuyến bay
flip	lật
float	lụt, lũ lụtl, tràn đầy, tràn ngập
flood	lũ
floor	sàn, tầng
flour	bột, bột mỳ
flow	sự chảy, chảy
flower	hoa, bông, đóa, cây hoa
flu	bệnh cúm
fluid	chất lỏng
fly	bay, sự bay, quãng đường bay
flying	biết bay, sự bay, chuyến bay
focus	tập trung, trung tâm, trọng tâm
fog	sương mù
fold	gấp, vén, xắn, nếp gấp
folding	gấp lại được
folk	dân gian
follow	đi theo sau, theo, tiếp theo
following	tiếp theo, theo sau, sau đây, sau, tiếp theo
food	đồ ăn, thức, món ăn
fool	ngu xuẩn
foot	chân, bàn chân
football	bóng đá
for	cho, dành cho...
for instance	ví dụ chẳng hạn
forbid	ngăn cấm
force	sức mạnh, ép buộc, cưỡng ép
forecast	sự dự đoán, dự báo, dự đoán, dự báo
forehead	trán
foreign	nước ngoài, từ nước ngoài, ở nước ngoài
foreigner	người nước ngoài
forest	rừng
forever	mãi mãi
forget	quên
forgive	tha, tha thứ
fork	cái nĩa
form	hình thể, hình dạng, hình thức, làm thành, được tạo thành
formal	hình thức
formally	chính thức
format	định dạng
formation	sự hình thành
former	trước, cũ, xưa, nguyên
formerly	trước đây, thuở xưa
formula	công thức, thể thức, cách thức
forth	ra
fortunately	may mắn
fortune	sự giàu có, sự thịnh vượng
forty	bốn mươi
forum	diễn đàn
forward	ở phía trước, tiến về phía trước
foster	nuôi dưỡng
found	tìm, tìm thấy
foundation	sự thành lập, sự sáng lập, tổ chức
founder	người sáng lập
four	bốn
fourth	thứ tư
fraction	phân số
fragile	mong manh
fragment	miếng
frame	cấu trúc, hệ thống, dàn xếp, bố trí
framework	khuôn khổ
franchise	nhượng quyền thương mại
frankly	thẳng thắn
fraud	gian lận
free	miễn phí, tự do, giải phóng, trả tự do
freedom	sự tự do, nền tự do
freely	tự do, thoải mái
freeze	sự đông lạnh, sự giá lạnh, làm đông, làm đóng băng
french	người pháp
frequency	tần số
frequent	thường xuyên
frequently	thường xuyên
fresh	tươi, tươi tắn
freshly	tươi mát, khỏe khoắn
freshman	sinh viên năm nhất
friday	thứ sáu
fridge	tủ lạnh
friend	người bạn
friendly	thân thiện, thân mật
friendship	tình bạn, tình hữu nghị
frighten	làm sợ, làm hoảng sợ
frightened	hoảng sợ, khiếp sợ
frightening	kinh khủng, khủng khiếp
from	từ
front	mặt, đằng trước, về phía trước
frontier	biên giới
frown	nhăn mặt
frozen	lạnh giá
fruit	quả, trái cây
frustrate	thất vọng
frustration	thất vọng
fry	rán, chiên, thịt rán
fuck	quan hệ tình dục
fucking	fucking
fuel	chất đốt, nhiên liệu
full	đầy, đầy đủ
full-time	toàn thời gian
fully	đầy đủ, hoàn toàn
fun	sự vui đùa, sự vui thích, hài hước
function	chức năng, họat động, chạy
functional	chức năng
fund	kho, quỹ, tài trợ, tiền bạc, để tiền vào công quỹ
fundamental	cơ bản, cơ sở, chủ yếu
funding	kinh phí
funeral	lễ tang, đám tang
funny	buồn cười, khôi hài
fur	bộ da lông thú
furniture	đồ đạc
further	xa hơn nữa, thêm nữa
further, furthest	cấp so sánh của far
furthermore	hơn nữa
future	tương lai
gain	lợi, lợi ích, giành được, kiếm được, đạt tới
galaxy	thiên hà
gallery	bộ sưu tập
gallon	galông 1gl = 4, 54 lít ở anh, 3, 78 lít ở mỹ
gamble	đánh bạc, cuộc đánh bạc
gambling	trò cờ bạc
game	trò chơi
gang	băng nhóm
gap	đèo, lỗ hổng, kẽ hở, chỗ trống
garage	nhà để ô tô
garbage	lòng, ruột
garden	vườn
garlic	tỏi
gas	khí, hơi đốt
gasoline	dầu lửa, dầu hỏa, xăng
gate	cổng
gather	tập hợp, hái, lượm, thu thập
gathering	thu thập
gay	gay
gaze	nhìn chằm chằm
gear	cơ cấu, thiết bị, dụng cụ
gender	giới tính
gene	gen
general	chung, chung chung, tổng
generally	nói chung, đại thể
generate	sinh, đẻ ra
generation	sự sinh ra, sự phát sinh ra, thế hệ, đời
generous	rộng lượng, khoan hồng, hào phóng
generously	rộng lượng, hào phóng
genetic	di truyền
genius	thiên tài
genre	thể loại
gentle	hiền lành, dịu dàng, nhẹ nhàng
gentleman	người quý phái, người thượng lưu
gently	nhẹ nhàng, êm ái, dịu dàng
genuine	thành thật, chân thật, xác thực
genuinely	thành thật, chân thật
geography	địa lý, khoa địa lý
german	tiếng Đức
gesture	cử chỉ
get	được, có được
get off	ra khỏi, thoát khỏi
get on leo	trèo lên
ghost	ma
giaalmost	hầu như, gần như
giant	người khổng lồ, người phi thường, khổng lồ, phi thường
gift	quà tặng
gifted	năng khiếu
girl	con gái
girlfriend	bạn gái, người yêu
give	cho, biếu, tặng
give birth	sinh ra
give sth away	cho, phát
give sth out	chia, phân phối
give up	bỏ, từ bỏ
given	được
glad	vui lòng, sung sướng
glance	nháy mắt
glass	kính, thủy tinh, cái cốc, ly
glasses	kính đeo mắt
glimpse	nhìn thoáng qua
global	toàn cầu, toàn thể, toàn bộ
globe	quả địa cầu
glory	vinh quang
glove	bao tay, găng tay
glue	keo, hồ, gắn lại, dán bằng keo, hồ
go	đi
go down	đi xuống
go up	đi lên
go wrong	mắc lỗi, sai lầm
goal	mục tiêu
goat	con dê
god	thần, chúa
gold	vàng, bằng vàng
golden	vàng
golf	golf
good	tốt, hay, tuyệt, điều tốt, điều thiện
good at	tiến bộ ở
good for	có lợi cho
good, well	tốt, khỏe
goodbye exclamation,	tạm biệt, lời chào tạm biệt
goods	của cải, tài sản, hàng hóa
govern	cai trị, thống trị, cầm quyền
government	chính phủ, nội các, sự cai trị
governor	thủ lĩnh, chủ, kẻ thống trị
grab	túm lấy, vồ, chộp lấy
grace	ân sủng
grade	điểm, điểm số, phân loại, xếp loại
gradual	dần dần, từng bước một
gradually	dần dần, từ từ
graduate	tốt nghiệp
graduation	tốt nghiệp
grain	thóc lúa, hạt, hột, tính chất, bản chất
gram	đậu xanh
grammar	văn phạm
grand	rộng lớn, vĩ đại
grandchild	cháu
granddaughter	cháu gái
grandfather	ông
grandmother	bà
grandparent	ông bà
grandson	cháu trai
grant	cho, ban, cấp, sự cho, sự ban, sự cấp
grape	giống nho
grasp	sự hiểu biết
grass	cỏ, bãi cỏ, đồng cỏ
grateful	biết ơn, dễ chịu, khoan khoái
grave	mộ, dấu huyền, trang nghiêm, nghiêm trọng
gravity	nghiêm trọng
gray	xám, hoa râm
great	to, lớn, vĩ đại
greatest	vĩ đại nhất
greatly	rất, lắm, cao thượng, cao cả
greek	người hy lạp
green	xanh lá cây
greet	chào hỏi
grey	xám, hoa râm
grief	đau buồn
grin	nụ cười
grip	nắm chặt
groceries	hàng tạp hóa
grocery	cửa hàng tạp phẩm
gross	tổng
ground	mặt đất, đất, bãi đất
group	nhóm
grow	mọc, mọc lên
grow up	lớn lên, trưởng thành
growing	phát triển
growth	sự lớn lên, sự phát triển
guarantee	sự bảo hành, bảo lãnh, người bảo lãnh, cam đoan, bảo đảm
guard	cái chắn, người bảo vệ, bảo vệ, gác, canh giữ
guess	đoán, phỏng đoán, sự đoán, sự ước chừng
guest	khách, khách mời
guidance	hướng dẫn
guide	điều chỉ dẫn, người hướng dẫn, dẫn đường, chỉ đường
guideline	hướng dẫn
guilt	tội lỗi
guilty	có tội, phạm tội, tội lỗi
guitar	đàn ghi ta
gun	súng
gut	ruột
guy	bù nhìn, anh chàng, gã
gym	phòng thể dục
ha	ha
habit	thói quen, tập quán
habitat	môi trường sống
hair	tóc
hairdresser	thợ làm tóc
half	một nửa, phần chia đôi, nửa giờ, nửa
halfway	nửa chừng
hall	đại sảnh, tòa , hội trường
hallway	hành lang
hammer	búa
hand	tay, bàn tay, trao tay, truyền cho
handful	ít
handle	treo, mắc
handsome	đẹp
hang	treo
happen	xảy ra, xảy đến
happily	sung sướng, hạnh phúc
happiness	sự sung sướng, hạnh phúc
happy	vui sướng, hạnh phúc
harassment	quấy rối
hard	cứng, rắn, hà khắc, hết sức cố gắng, tích cực
hardly	khắc nghiệt, nghiêm khắc, tàn tệ, khó khăn
hardware	phần cứng
harm	thiệt hại, tổn hao, làm hại, gây thiệt hại
harmful	gây tai hại, có hại
harmless	không có hại
harmony	hòa hợp
harsh	khắc nghiệt
harvest	mùa gặt
hat	cái mũ
hate	ghét, lòng căm ghét, thù hận
hatred	lòng căm thì, sự căm ghét
haul	lôi
have	có
have auxiliary	có
have to modal	phải
hazard	nguy hiểm
he	nó, anh ấy, ông ấy
head	cái đầu , chỉ huy, lãnh đại, dẫn đầu
headache	chứng nhức đầu
headline	tiêu đề
headquarters	trụ sở chính
heal	chữa khỏi, làm lành
health	sức khỏe, thể chất, sự lành mạnh
healthy	khỏe mạnh, lành mạnh
hear	nghe
hearing	sự nghe, thính giác
heart	tim, trái tim
heat	hơi nóng, sức nóng
heating	sự đốt nóng, sự làm nóng
heaven	thiên đường
heavily	nặng, nặng nề
heavy	nặng, nặng nề
heel	gót chân
height	chiều cao, độ cao, đỉnh, điểm cao
helicopter	máy bay trực thăng
hell	địa ngục
hello	chào, xin chào, lời chào
helmet	mũ bảo hiểm
help	giúp đỡ, sự giúp đỡ
helpful	có ích, giúp đỡ
hence	sau đây, kể từ đây, do đó, vì thế
her	nó, chị ấy, cô ấy, bà ấy
herb	thảo mộc
here	đây, ở đây
heritage	gia tài
hero	người anh hùng
hers	cái của nó, cái của cô ấy, cái của chị ấy, cái của bà ấy
herself	chính nó, chính cô ta, chính chị ta, chính bà ta
hesitate	ngập ngừng, do dự
hey	chào
hi	xin chào
hidden	ẩn
hide	trốn, ẩn nấp, che giấu
high	cao, ở mức độ cao
high-tech	công nghệ cao
highlight	làm nổi bật, nêu bật, chỗ nổi bật nhất, đẹp, sáng nhất
highly	tốt, cao, hết sức, ở mức độ cao
highway	đường quốc lộ
hike	đi lang thang
hill	đồi
him	nó, hắn, ông ấy, anh ấy
himself	chính nó, chính hắn, chính ông ta, chính anh ta
hint	dấu
hip	hông
hire	thuê, cho thuê , sự thuê, sự cho thuê
his	của nó, của hắn, của ông ấy, của anh ấy, cái của nó, cái của hắn, cái của ông ấy, cái của anh ấy
hispanic	người hispanic
historian	nhà sử học
historic	mang tính lịch sử
historical	lịch sử, thuộc lịch sử
historically	lịch sử
history	lịch sử, sử học
hit	đánh, đấm, ném trúng, đòn, cú đấm
hoanloose	lỏng, không chặt
hobby	sở thích riêng
hockey	khúc côn cầu
hoever	ai, người nào, bất cứ ai, bất cứ người nào, dù ai
hold	cầm, nắm, giữ, sự cầm, sự nắm giữ
hole	lỗ, lỗ trống, hang
holiday	ngày lễ, ngày nghỉ
hollow	rỗng, trống rỗng
holy	linh thiêng, sùng đạo
home	nhà, ở tại nhà, nước mình
homeland	quê hương
homeless	vô gia cư
homework	bài tập về nhà , công việc làm ở nhà
honest	lương thiện, trung thực, chân thật
honestly	lương thiện, trung thực, chân thật
honey	mật ong
honor	tôn vinh
honour	danh dự, thanh danh, lòng kính trọng
hook	cái móc, bản lề, lưỡi câu
hope	hy vọng, nguồn hy vọng
hopefully	hy vọng
horizon	đường chân trời
hormone	hoocmon
horn	sừng
horrible	kinh khủng
horror	điều kinh khủng, sự ghê rợn
horse	ngựa
hospital	bệnh viện, nhà thương
host	chủ nhà, chủ tiệc, dẫn
hostage	con tin
hostile	hostile
hot	nóng, nóng bức
hotel	khách sạn
hour	giờ
house	nhà, căn nhà, toàn nhà
household	hộ, gia đình,  gia đình
housing	nơi ăn chốn ở
how	thế nào, như thế nào, làm sao, ra sao
however	tuy nhiên, tuy vậy, dù thế nào
hug	ôm
huge	to lớn, khổng lồ
huh	huh
human	con người, loài người
humanity	nhân loại
humor	hài hước
humorous	hài hước, hóm hỉnh
humour	sự hài hước, sự hóm hỉnh
hundred	hàng trăm
hunger	đói
hungry	đó
hunt	săn, đi săn
hunter	thợ săn
hunting	sự đi săn
hurricane	bão
hurry	sự vội vàng, sự gấp rút
hurt	làm bị thương, gây thiệt hại
husband	người chồng
hypothesis	giả thuyết
i	tôi
ice	băng, nước đá
ice cream	kem
icon	biểu tượng
idea	ý tưởng, quan niệm
ideal	quan niệm, tư tưởng, lý tưởng
ideally	lý tưởng, đúng như lý tưởng
identical	giống nhau
identification	nhận biết
identify	nhận biết, nhận ra, nhận dạng
identity	cá tính, nét nhận dạng, tính đồng nhất, giống hệt
ideological	ý thức hệ
ideology	hệ tư tưởng
ie	nghĩa là
if	nếu, nếu như
ignore	phớt lờ, tỏ ra không biết đến
ill	ốm
illegal	trái luật, bất hợp pháp
illegally	trái luật, bất hợp pháp
illness	sự đau yếu, ốm, bệnh tật
illusion	ảo giác
illustrate	minh họa, làm rõ ý
image	ảnh, hình ảnh
imaginary	tưởng tượng, ảo
imagination	trí tưởng tượng, sự tưởng tượng
imagine	tưởng tượng, hình dung, tưởng rằng, cho rằng
immediate	lập tức, tức thì
immediately	ngay lập tức
immigrant	di trú
immigration	nhập cư
immoral	trái đạo đức, luân lý, xấu xa
immune	miễn dịch
impact	sự và chạm, sự tác động, ảnh hưởng
impatient	thiếu kiên nhẫn, nóng vội
impatiently	nóng lòng, sốt ruột
implement	thực hiện
implementation	thực hiện
implication	sự lôi kéo, sự liên can, điều gợi ý
imply	ngụ ý, bao hàm
import	sự nhập, sự nhập khẩu, nhập, nhập khẩu
importance	sự quan trọng, tầm quan trọng
important	quan trọng, hệ trọng
importantly	quan trọng, trọng yếu
impose	đánh , bắt gánh vác, đánh tráo, lợi dụng
impossible	không thể làm được, không thể xảy ra
impress	ghi, khắc, in sâu vào, gây ấn tượng, làm cảm động
impressed	được ghi, khắc, in sâu vào
impression	ấn tượng, cảm giác, sự in, đóng dấu
impressive	gấy ấn tượng mạnh, hùng vĩ, oai vệ
improve	cải thiện, cái tiến, mở mang
improved	cải tiến
improvement	sự cái thiện, sự cải tiến, sự mở mang
impulse	thúc đẩy
in	ở, tại, trong, vào
in addition	thêm vào
in advance	trước, sớm
in case	nếu......
in charge of	phụ trách
in common	sự chung, của chung
in exchange	trong việc trao đổi về
in favour/favor	ủng hộ cái gì
in front	ở phía trước
in general	nói chung, đại khái
in memory of	sự tưởng nhớ
in order to	hợp lệ
in public	giữa công chúng, công khai
in spite of	mặc dù, bất chấp
in the end	cuối cùng, về sau
inability	sự bất lực, bất tài
incentive	khuyến khích
inch	insơ
incident	việc xảy ra, việc có liên quan
include	bao gồm, tính cả
including	bao gồm, kể cả
income	lợi tức, thu nhập
incorporate	kết hợp
increase	tăng, tăng thêm, sự tăng, sự tăng thêm
increased	tăng
increasing	tăng
increasingly	tăng thêm
incredible	đáng kinh ngạc
incredibly	vô cùng
indeed	thật vậy, quả thật
independence	sự độc lập, nền độc lập
independent	độc lập
independently	độc lập
index	chỉ số, sự biểu thị
indian	người Ấn Độ
indicate	chỉ, cho biết, biểu thị, trình bày ngắn gọn
indication	sự chỉ, sự biểu thị, sự biểu lộ
indicator	chỉ thị
indigenous	bản địa
indirect	gián tiếp
indirectly	gián tiếp
individual	riêng, riêng biệt, cá nhân
indoor	trong nhà
indoors	ở trong nhà
industrial	công nghiệp, kỹ nghệ
industry	công nghiệp, kỹ nghệ
inevitable	không thể tránh được, chắc chắn xảy ra, vẫn thường thấy, nghe
inevitably	chắc chắn
infant	trẻ sơ sinh
infect	nhiễm, tiêm nhiễm, đầu độc, lan truyền
infected	bị nhiễm, bị đầu độc
infection	sự nhiễm, sự đầu độc
infectious	lây, nhiễm
inflation	lạm phát
influence	sự ảnh hưởng, sự tác dụng, ảnh hưởng, tác động
influential	có ảnh hưởng
inform	báo cho biết, cung cấp tin tức
informal	không chính thức, không nghi thức
information	tin tức, tài liệu, kiến thức
infrastructure	cơ sở hạ tầng
ingredient	phần hợp thành, thành phần
inherent	vốn có
inherit	thừa kế
initial	ban đầu, lúc đầu, chữ đầu
initially	vào lúc ban đầu, ban đầu
initiate	bắt đầu
initiative	bước đầu, sự khởi đầu
injure	làm tổn thương, làm hại, xúc phạm
injured	bị tổn thương, bị xúc phạm
injury	sự làm tổn thương, làm hại, điều hại, điều tổn hại
ink	mực
inmate	tù nhân
inner	ở trong, nội bộ, thân cận
innocent	vô tội, trong trắng, ngây thơ
innovation	đổi mới
innovative	sáng tạo
input	đầu vào
inquiry	yêu cầu
insect	sâu bọ, côn trùng
insert	chèn vào, lồng vào
inside	mặt trong, phía, phần trong, ở trong, nội bộ
insight	cái nhìn sâu sắc
insist	cứ nhất định, cứ khăng khăng
inspection	kiểm tra
inspector	thanh tra
inspiration	cảm hứng
inspire	truyền cảm hứng
install	đặt
installation	cài đặt
instance	thí dị, ví dụ, trường hợp cá biệt
instant	tức thời
instantly	ngay lập tức
instead	để thay thế
instead of	thay cho
instinct	bản năng
institute	viện, học viện
institution	sự thành lập, lập, cơ quan, trụ sở
institutional	thể chế
instruct	dạy
instruction	sự dạy, tài liệu cung cấp
instructional	hướng dẫn
instructor	giảng viên
instrument	dụng cụ âm nhạc khí
insult	lăng mạ, xỉ nhục, lời lăng mạ, sự xỉ nhục
insulting	lăng mạ, xỉ nhục
insurance	sự bảo hiểm
intact	nguyên vẹn
integrate	tích hợp
integrated	tích hợp
integration	hội nhập
integrity	chính trực
intellectual	trí tuệ
intelligence	sự hiểu biết, trí thông minh
intelligent	thông minh, sáng trí
intend	ý định, có ý định
intended	có ý định, có dụng ý
intense	cường độ cao
intensity	cường độ
intent	ý định
intention	ý định, mục đích
interact	tương tác
interaction	sự tương tác
interest	sự thích thú, sự quan tâm, chú ý, làm quan tâm, làm chú ý
interested	có thích thú, có quan tâm, có chú ý
interesting	làm thích thú, làm quan tâm, làm chú ý
interfere	gây trở ngại
interior	phần trong, phía trong, ở trong, ở phía trong
internal	ở trong, bên trong, nội địa
international	quốc tế
internet	liên mạng
interpret	giải thích
interpretation	sự giải thích
interrupt	làm gián đoạn, ngắt lời
interruption	sự gián đoạn, sự ngắt lời
interval	khoảng , khoảng cách
intervention	can thiệp
interview	cuộc phỏng vấn, sự gặp mặt, phỏng vấn, nói chuyện riêng
intimate	thân mật
into	vào, vào trong
introduce	giới thiệu
introduction	sự giới thiệu, lời giới thiệu
invade	xâm chiếm
invasion	cuộc xâm lăng
invent	phát minh, sáng chế
invention	sự phát minh, sự sáng chế
inventory	hàng tồn kho
invest	đầu tư
investigate	điều tra, nghiên cứu
investigation	sự điều tra, nghiên cứu
investigator	điều tra viên
investment	sự đầu tư, vốn đầu tư
investor	nhà đầu tư
invisible	vô hình
invitation	lời mời, sự mời
invite	mời
involve	bao gồm, bao hàm, thu hút, dồn tâm trí
involved	có tính liên quan
involvement	sự gồm, sự bao hàm, sự để, dồn hết tâm trí vào
iraqi	iraqi
irish	người ailen
iron	sắt, bọc sắt
ironically	trớ trêu thay
irony	mỉa mai
irritate	làm phát cáu, chọc tức
irritated	tức giận, cáu tiết
irritating	làm phát cáu, chọc tức
islam	đạo hồi
islamic	hồi giáo
island	hòn đảo
isolate	cô lập
isolated	bị cô lập
isolation	cô lập
israeli	israeli
issue	sự phát ra, sự phát sinh, phát hành, đưa ra
it	cái đó, điều đó, con vật đó
italian	người Ý
item	tin tức, khoản.., món..., tiết mục
its	của cái đó, của điều đó, của con vật đó, cái của điều đó, cái của con vật đó
itself	chính cái đó, chính điều đó, chính con vật đó
jacket	áo vét
jail	nhà giam
jam	mứt
january	tháng giêng
japanese	tiếng nhật
jar	lọ
jaw	hàm
jazz	jazz
jealous	ghen,, ghen tị
jeans	quần bò, quần zin
jelly	thạch
jet	máy bay phản lực
jew	người do thái
jewellery	nữ trang, kim hoàn
jewelry	đồ trang sức
jewish	người do thái
job	việc, việc làm
join	gia nhập, tham gia, nối, chắp, ghép
joint	chung , chỗ nối, đầu nối
jointly	cùng nhau, cùng chung
joke	trò cười, lời nói đùa, nói đùa, giễu cợt
journal	tạp chí
journalism	báo chí
journalist	nhà báo
journey	cuộc hành trình , quãng đường, chặng đường đi
joy	niềm vui, sự vui mừng
judge	xét xử, phân xử, quan tòa, thẩm phán
judgement	sự xét xử
judgment	phán đoán
judicial	tư pháp
juice	nước ép
july	tháng 7
jump	nhảy, sự nhảy, bước nhảy
june	tháng 6
jungle	rừng nhiệt đới
junior	trẻ hơn, ít tuổi hơn, người ít tuổi hơn
jurisdiction	quyền hạn
juror	bồi thẩm đoàn
jury	ban bồi thẩm
just	đúng, vừa đủ, vừa mới, chỉ
justice	sự công bằng
justified	hợp lý, được chứng minh là đúng
justify	bào chữa, biện hộ
keen	sắc, bén
keen on	say mê, ưa thích
keep	giữ, giữ lại
key	chìa khóa, khóa, thuộc
keyboard	bàn phím
kick	đá, cú đá
kid	con dê non
kill	giết, tiêu diệt
killer	sát thủ
killing	sự giết chóc, sự tàn sát
kilogram	kilôgam
kilometre	kilômet
kind	loại, giống, tử tế, có lòng tốt
kindly	tử tế, tốt bụng
kindness	sự tử tế, lòng tốt
king	vua, quốc vương
kingdom	vương quốc
kiss	hôn, cái hôn
kit	bộ dụng cụ
kitchen	bếp
knee	đầu gối
kneel	quỳ xuống
knife	đan, thêu
knitted	được đan, được thêu
knitting	việc đan, hàng dệt kim
knock	đánh, đập, cú đánh
knot	cái nơ, điểm nút, điểm trung tâm
know	biết
knowledge	sự hiểu biết, tri thức
known	nổi tiếng
korean	hàn quốc
lab	phòng thí nghiệm
label	nhãn, mác, dán nhãn, ghi mác
labor	lao động
laboratory	phòng thí nghiệm
laboratory, lab	phòng thí nghiệm
labour	lao động, công việc
lack	sự thiếu, thiếu
lacking	ngu đần, ngây ngô
ladder	thang
lady	người yêu, vợ, quý bà, tiểu thư
lake	hồ
lamp	đèn
land	đất, đất canh tác, đất đai
landing	đổ bộ
landmark	mốc
landscape	phong cảnh
lane	đường nhỏ
language	ngôn ngữ
lap	vòng
large	rộng, lớn, to
largely	phong phú, ở mức độ lớn
laser	laser
last	lầm cuối, sau cùng, người cuối cùng, cuối cùng, rốt hết,
late	trễ, muộn
lately	gần đây
later	chậm hơn
latest	muộn nhất, chậm nhất, gần đây nhất
latin	latin
latter	sau cùng, gần đây, mới đây
laugh	cười, tiếng cười
laughter	tiếng cười
launch	hạ thủy , khai trương, sự hạ thủy, buổi giới thiệu sản phầm
laundry	giặt ủi
law	luật
lawmaker	nhà lập pháp
lawn	bãi cỏ
lawsuit	kiện tụng
lawyer	luật sư
lay	xếp, đặt, bố trí
layer	lớp
lazy	lười biếng
lead	lãnh đạo, dẫn dắt, sự lãnh đạo, sự hướng dẫn
leader	người lãnh đạo, lãnh tụ
leadership	khả năng lãnh đạo
leading	lãnh đạo, dẫn đầu
leaf	lá cây, lá
league	liên minh, liên hoàn
lean	nghiêng, dựa, ỷ vào
leap	nhảy vọt
learn	học, nghiên cứu
learning	học tập
least	tối thiểu, ít nhất
leather	da thuộc
leave	bỏ đi, rời đi, để lại
leave out	bỏ quên, bỏ sót
lecture	bài diễn thuyết, bài thuyết trình, bài nói chuyện
left	bên trái, về phía trái
leg	chân
legacy	di sản
legal	hợp pháp
legally	hợp pháp
legend	huyền thoại
legislation	pháp luật
legislative	lập pháp
legislator	nhà lập pháp
legislature	cơ quan lập pháp
legitimate	hợp pháp
lemon	quả chanh
lend	cho vay, cho mượn
length	chiều dài, độ dài
lens	ống kính
less	nhỏ bé, ít hơn, số lượng ít hơn
lesson	bài học
let	cho phép, để cho
letter	thư, chữ cái, mẫu tự
level	trình độ, cấp, vị trí, bằng, ngang bằng
liability	trách nhiệm pháp lý
liberal	tự do
liberty	tự do
library	thư viện
licence	bằng, chứng chỉ, bằng cử nhân, sự cho phép
license	cấp chứng chỉ, cấp bằng, cho phép
lid	nắp, vung
lie	nói dối, lời nói dối, sự dối trá
life	đời, sự sống
lifestyle	lối sống
lifetime	cả đời
lift	giơ lên, nhấc lên, sự nâng, sự nhấc lên
light	ánh sáng, nhẹ, nhẹ nhàng, đốt, thắp sáng
lighting	thắp sáng
lightly	nhẹ nhàng
lightning	sét đánh
like	giống như, thích, như
likelihood	khả năng
likely	có thể đúng, có thể xảy ra, có khả năng, có thể, chắc vậy
likewise	tương tự
limb	chân tay
limit	giới hạn, ranh giới, giới hạn, hạn chế
limitation	giới hạn
limited	hạn chế, có giới hạn
line	dây, đường, tuyến
link	mắt xích, mối liên lạc, liên kết, kết nối
lion	sư tử
lip	môi
liquid	chất lỏng, lỏng, êm ái, du dương, không vững
list	danh sách, ghi vào danh sách
listen	nghe, lắng nghe
listener	người nghe
literally	nghĩa đen
literary	văn chương
literature	văn chương, văn học
litre	lít
little	nhỏ, bé, chút ít, không nhiều, một chút
live	sống
lively	sống, sinh động
liver	gan
living	sống, đang sống
load	gánh nặng, vật nặng, chất, chở
loan	sự vay mượn
lobby	sảnh đợi
local	địa phương, bộ phận, cục bộ
locally	có tính chất địa phương, cục bộ
locate	xác định vị trí, định vị
located	định vị
location	vị trí, sự định vị
lock	khóa, khóa
log	đăng nhập
logic	lô gic
logical	hợp lý, hợp logic
lonely	cô đơn, bơ vơ
long	dài, xa, lâu
long-term	dài hạn
longtime	thời gian dài
look	nhìn, cái nhìn
look after	trông nom, chăm sóc
look at	nhìn, ngắm, xem
look for	tìm kiếm
look forward to	mong đợi cách hân
loop	vòng lặp
loose	lỏng lẻo
loosely	lỏng lẻo
lord	chúa, vua
lorry	xe tải
lose	mất, thua, lạc
loss	sự mất, sự thua
lost	thua, mất
lot	số lượng lớn, rất nhiều
lots	rất nhiều
loud	to, inh ỏi, ầm ĩ, to, lớn
loudly	ầm ĩ, inh ỏi
love	tình yêu, lòng yêu thương, yêu, thích
lovely	đẹp, xinh xắn, có duyên
lover	người yêu, người tình
low	thấp, bé, lùn
lower	thấp hơn
loyal	trung thành, trung kiên
loyalty	lòng trung thành
luck	may mắn, vận may
lucky	gặp may, gặp may mắn, hạnh phúc
luggage	hành lý
lump	cục, tảng, miếng, cái bướu
lunch	bữa ăn trưa
lung	phổi
machine	máy, máy móc
machinery	máy móc, thiết bị
mad	điên, mất trí, bực điên người
magazine	tạp chí
magic	ma thuật, ảo thuật,  ma thuật, ảo thuật
magnetic	từ tính
magnitude	độ lớn
mail	thư từ, bưu kiện, gửi qua bưu điện
main	chính, chủ yếu, trọng yếu nhất
mainly	chính, chủ yếu, phần lớn
mainstream	dòng chính
maintain	giữ gìn, duy trì, bảo vệ
maintenance	bảo trì
major	lớn, nhiều hơn, trọng đại, chủ yếu
majority	phần lớn, đa số, ưu thế
make	làm, chế tạo, sự chế tạo
make fun of	đùa cợt, chế giễu, chế nhạo
make sth up	làm thành, cấu thành, gộp thành
make sure	chắc chắn, làm cho chắc chắn
make-up	đồ hóa trang, son phấn
maker	nhà sản xuất
makeup	trang điểm
male	trai, trống, đực, con trai, đàn ông, con trống, đực
mall	búa
man	con người, đàn ông
manage	quản lý, trông nom, điều khiển
management	sự quản lý, sự trông nom, sự điều khiển
manager	người quản lý, giám đốc
managing	quản lý
mandate	ủy nhiệm
